County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Yakima,Washington,G53,residential,2022,G5300770,ng,1616161.6646998506,14871806.762101023
Ferry,Washington,G53,commercial,2022,G5300190,elec,87163.78058060174,2609295.4995577917
Island,Washington,G53,commercial,2022,G5300290,elec,716993.0778075366,20401281.308059778
Pend Oreille,Washington,G53,commercial,2022,G5300510,elec,88456.66911105198,1984147.6760974766
Thurston,Washington,G53,commercial,2022,G5300670,elec,5358493.240308577,154204261.42872256
Whatcom,Washington,G53,commercial,2022,G5300730,elec,2840185.2759803096,81182416.36731455
Ferry,Washington,G53,commercial,2022,G5300190,ng,1279.1178898912258,143.94898346493426
Island,Washington,G53,commercial,2022,G5300290,ng,405221.58137518924,3295266.2164620096
Pend Oreille,Washington,G53,commercial,2022,G5300510,ng,97382.04929541102,767492.5456365675
Thurston,Washington,G53,commercial,2022,G5300670,ng,3191492.535046031,25985321.125201073
Whatcom,Washington,G53,commercial,2022,G5300730,ng,1925092.501173382,16309878.233708208
Ferry,Washington,G53,residential,2022,G5300190,elec,84513.57565135171,2335051.695339047
Island,Washington,G53,residential,2022,G5300290,elec,1156574.194041746,35614875.40149247
Pend Oreille,Washington,G53,residential,2022,G5300510,elec,236884.7512730996,6431976.70158975
Thurston,Washington,G53,residential,2022,G5300670,elec,3650635.0705451313,115646054.79995029
Whatcom,Washington,G53,residential,2022,G5300730,elec,2197034.436002918,69531177.5310494
Thurston,Washington,G53,industrial,2022,G5300670,elec,845883.9686243794,10197751.389796916
Island,Washington,G53,industrial,2022,G5300290,elec,279273.63936485274,3366848.468115645
Pend Oreille,Washington,G53,industrial,2022,G5300510,elec,3180414.630236627,38342230.04411633
Ferry,Washington,G53,industrial,2022,G5300190,elec,380615.80090976576,4588602.523131389
Whatcom,Washington,G53,industrial,2022,G5300730,elec,2796071.939342247,33708697.12990307
Thurston,Washington,G53,industrial,2022,G5300670,ng,169707.03882318948,1406236.370444397
Island,Washington,G53,industrial,2022,G5300290,ng,39820.990835982186,329967.0185102507
Pend Oreille,Washington,G53,industrial,2022,G5300510,ng,410843.2060999352,3404352.954208556
Ferry,Washington,G53,industrial,2022,G5300190,ng,121042.55057570385,1002989.8475115644
Whatcom,Washington,G53,industrial,2022,G5300730,ng,2972278.3868560363,24629066.65313649
Ferry,Washington,G53,residential,2022,G5300190,ng,18193.036623063217,176158.8856552159
Island,Washington,G53,residential,2022,G5300290,ng,613308.6323615769,6169118.465425887
Pend Oreille,Washington,G53,residential,2022,G5300510,ng,54108.450207634276,516757.5895128168
Thurston,Washington,G53,residential,2022,G5300670,ng,3063148.4772958327,31215495.872234337
Whatcom,Washington,G53,residential,2022,G5300730,ng,3079016.3536406183,27791179.821996987
Wahkiakum,Washington,G53,residential,2022,G5300690,elec,60611.23747896626,1673536.1892930872
Wahkiakum,Washington,G53,industrial,2022,G5300690,elec,89086.54810718818,1074003.6499919822
Wahkiakum,Washington,G53,industrial,2022,G5300690,ng,26729.367559562157,221486.4455940098
Wahkiakum,Washington,G53,residential,2022,G5300690,ng,11426.462483921465,102546.51222046305
Douglas,Washington,G53,commercial,2022,G5300170,elec,311589.3380925184,2863036.6070361296
Okanogan,Washington,G53,commercial,2022,G5300470,elec,377221.57968900556,7783336.437837935
Douglas,Washington,G53,commercial,2022,G5300170,ng,53788.330928028154,429223.01628522767
Okanogan,Washington,G53,commercial,2022,G5300470,ng,5231.394955910837,588.7291483947519
Douglas,Washington,G53,residential,2022,G5300170,elec,943855.8275755406,9908632.057637341
Okanogan,Washington,G53,residential,2022,G5300470,elec,792786.284400024,18045805.19483108
Douglas,Washington,G53,industrial,2022,G5300170,elec,483262.4541488203,5826083.181889916
Okanogan,Washington,G53,industrial,2022,G5300470,elec,689763.9284656832,8315609.84845453
Douglas,Washington,G53,industrial,2022,G5300170,ng,16663.792397176156,138080.48918264356
Okanogan,Washington,G53,industrial,2022,G5300470,ng,64818.19606401923,537100.3194910765
Douglas,Washington,G53,residential,2022,G5300170,ng,61554.07617708939,594205.3729907215
Okanogan,Washington,G53,residential,2022,G5300470,ng,74930.989116879,741630.7336647478
Clallam,Washington,G53,commercial,2022,G5300090,elec,960384.8174312392,21806346.662566222
Grays Harbor,Washington,G53,commercial,2022,G5300270,elec,939325.2158665644,25276288.849433158
Klickitat,Washington,G53,commercial,2022,G5300390,elec,146282.04023292247,3551286.2269403823
Walla Walla,Washington,G53,commercial,2022,G5300710,elec,628684.0252152972,15372861.707416333
Clallam,Washington,G53,commercial,2022,G5300090,ng,8176.49013269465,920.1633815151645
Grays Harbor,Washington,G53,commercial,2022,G5300270,ng,419213.9745008042,3529322.754066571
Klickitat,Washington,G53,commercial,2022,G5300390,ng,90655.58884707568,792888.362115183
Walla Walla,Washington,G53,commercial,2022,G5300710,ng,44781.92944760283,319151.22299058887
Clallam,Washington,G53,residential,2022,G5300090,elec,1356309.8654772001,36529070.146296844
Grays Harbor,Washington,G53,residential,2022,G5300270,elec,1119228.0431419772,34456918.73854699
Klickitat,Washington,G53,residential,2022,G5300390,elec,337634.88934700895,9667674.15510703
Walla Walla,Washington,G53,residential,2022,G5300710,elec,907990.0751082298,22956516.765900582
Grays Harbor,Washington,G53,industrial,2022,G5300270,elec,840687.0137817275,10135098.289093783
Walla Walla,Washington,G53,industrial,2022,G5300710,elec,1729341.8287743803,20848483.588709533
Clallam,Washington,G53,industrial,2022,G5300090,elec,371570.7539410589,4479557.850673652
Klickitat,Washington,G53,industrial,2022,G5300390,elec,780244.6521817227,9406421.307531593
Grays Harbor,Washington,G53,industrial,2022,G5300270,ng,587844.903937826,4871034.753950382
Walla Walla,Washington,G53,industrial,2022,G5300710,ng,3384873.8967954568,28047939.64969713
Clallam,Washington,G53,industrial,2022,G5300090,ng,92982.06884875933,770473.4460102044
Klickitat,Washington,G53,industrial,2022,G5300390,ng,429427.17976589565,3558344.5614964613
Clallam,Washington,G53,residential,2022,G5300090,ng,180000.62349743617,1787930.6499008834
Grays Harbor,Washington,G53,residential,2022,G5300270,ng,403441.2727110027,3666542.337992084
Klickitat,Washington,G53,residential,2022,G5300390,ng,149674.53627092415,1399736.3742629734
Walla Walla,Washington,G53,residential,2022,G5300710,ng,457909.04962376633,4337765.430818281
King,Washington,G53,commercial,2022,G5300330,elec,44214947.56466254,1171897648.9429836
King,Washington,G53,commercial,2022,G5300330,ng,26365627.101965632,214739662.78426728
King,Washington,G53,residential,2022,G5300330,elec,26277916.907623034,791740093.1529795
King,Washington,G53,industrial,2022,G5300330,elec,14572854.639211064,175686446.56075102
King,Washington,G53,industrial,2022,G5300330,ng,11675622.861560555,96747227.63046056
King,Washington,G53,residential,2022,G5300330,ng,33542789.02761076,341822663.80248374
Grant,Washington,G53,commercial,2022,G5300250,elec,1050815.8997901727,12887756.903154876
Lincoln,Washington,G53,commercial,2022,G5300430,elec,122633.73733673489,3007506.965016051
Grant,Washington,G53,commercial,2022,G5300250,ng,96049.07332160561,726830.8631908525
Lincoln,Washington,G53,commercial,2022,G5300430,ng,116108.03196734324,915076.7485924307
Grant,Washington,G53,residential,2022,G5300250,elec,1630628.870539622,29292041.570316747
Lincoln,Washington,G53,residential,2022,G5300430,elec,194995.90194508163,5192799.422920771
Grant,Washington,G53,industrial,2022,G5300250,elec,2872985.3726842236,34635944.95685103
Lincoln,Washington,G53,industrial,2022,G5300430,elec,389160.4518713475,4691614.554864894
Grant,Washington,G53,industrial,2022,G5300250,ng,5162201.574377242,42775335.98955622
Lincoln,Washington,G53,industrial,2022,G5300430,ng,6164.450458857194,51080.229194730935
Grant,Washington,G53,residential,2022,G5300250,ng,99965.40330602454,971828.1925255653
Lincoln,Washington,G53,residential,2022,G5300430,ng,89734.34197122496,856999.268570787
San Juan,Washington,G53,commercial,2022,G5300550,elec,237209.72786240067,8248011.872824263
San Juan,Washington,G53,commercial,2022,G5300550,ng,2236.5582661187004,251.69711995132013
San Juan,Washington,G53,residential,2022,G5300550,elec,262242.96222985984,9980624.536614507
San Juan,Washington,G53,industrial,2022,G5300550,elec,239058.4806247139,2882025.2463207045
San Juan,Washington,G53,industrial,2022,G5300550,ng,19198.712663924078,159085.493453512
San Juan,Washington,G53,residential,2022,G5300550,ng,77038.73504127751,762794.8767537769
Chelan,Washington,G53,commercial,2022,G5300070,elec,1003733.7648252896,11460404.224798825
Mason,Washington,G53,commercial,2022,G5300450,elec,528055.3568472338,13450289.391222844
Skagit,Washington,G53,commercial,2022,G5300570,elec,1737792.0591039872,49925132.740459025
Chelan,Washington,G53,commercial,2022,G5300070,ng,25614.2884459892,108098.75557282238
Mason,Washington,G53,commercial,2022,G5300450,ng,265354.10031218856,2240784.798053706
Skagit,Washington,G53,commercial,2022,G5300570,ng,1034044.2444445223,8757365.389277678
Chelan,Washington,G53,residential,2022,G5300070,elec,1531271.03277349,17349318.834712412
Mason,Washington,G53,residential,2022,G5300450,elec,768969.4468612459,23231112.332810573
Skagit,Washington,G53,residential,2022,G5300570,elec,1453974.732531538,45929136.719667114
Mason,Washington,G53,industrial,2022,G5300450,elec,588423.3629587103,7093875.034846272
Chelan,Washington,G53,industrial,2022,G5300070,elec,1226515.91762556,14786548.59000908
Skagit,Washington,G53,industrial,2022,G5300570,elec,1732381.512189007,20885129.20077433
Mason,Washington,G53,industrial,2022,G5300450,ng,433133.3473508662,3589054.8236581823
Chelan,Washington,G53,industrial,2022,G5300070,ng,919938.8399421698,7622850.909907761
Skagit,Washington,G53,industrial,2022,G5300570,ng,8739705.637125937,72419458.96368441
Chelan,Washington,G53,residential,2022,G5300070,ng,109402.96254457581,1074167.190300514
Mason,Washington,G53,residential,2022,G5300450,ng,223959.95208346023,2056995.330871361
Skagit,Washington,G53,residential,2022,G5300570,ng,1894620.4750759816,17106760.54081258
Jefferson,Washington,G53,commercial,2022,G5300310,elec,474358.8711837448,13603024.32660183
Jefferson,Washington,G53,commercial,2022,G5300310,ng,271911.0191121694,2212476.71638066
Jefferson,Washington,G53,residential,2022,G5300310,elec,505205.7334629911,15993281.218918167
Jefferson,Washington,G53,industrial,2022,G5300310,elec,159656.04698886158,1924770.6960540945
Jefferson,Washington,G53,industrial,2022,G5300310,ng,199608.1840469445,1654004.9852476532
Jefferson,Washington,G53,residential,2022,G5300310,ng,103260.43132182876,1051147.6536840762
Snohomish,Washington,G53,commercial,2022,G5300610,elec,8476734.031821592,212920409.70653057
Spokane,Washington,G53,commercial,2022,G5300630,elec,9769539.274272064,235116244.3492125
Stevens,Washington,G53,commercial,2022,G5300650,elec,471006.64831978816,13839559.166606624
Snohomish,Washington,G53,commercial,2022,G5300610,ng,4961123.38789044,40344199.43433159
Spokane,Washington,G53,commercial,2022,G5300630,ng,9809117.704177324,77308136.07145119
Stevens,Washington,G53,commercial,2022,G5300650,ng,356120.97582429944,2806679.4270674894
Snohomish,Washington,G53,residential,2022,G5300610,elec,9928661.633804254,274868945.17089415
Spokane,Washington,G53,residential,2022,G5300630,elec,7242540.604452934,191801901.19793698
Stevens,Washington,G53,residential,2022,G5300650,elec,680591.1553849558,18584202.198469266
Spokane,Washington,G53,industrial,2022,G5300630,elec,6741467.777642355,81273336.47252432
Snohomish,Washington,G53,industrial,2022,G5300610,elec,3297119.8549616407,39749197.08898352
Stevens,Washington,G53,industrial,2022,G5300650,elec,760899.689010474,9173203.594012383
Spokane,Washington,G53,industrial,2022,G5300630,ng,5171121.410974692,42849248.060197294
Snohomish,Washington,G53,industrial,2022,G5300610,ng,3311195.2874345,27437419.65638629
Stevens,Washington,G53,industrial,2022,G5300650,ng,166913.16524321915,1383085.6121150865
Snohomish,Washington,G53,residential,2022,G5300610,ng,10282674.744154762,104735926.75648023
Spokane,Washington,G53,residential,2022,G5300630,ng,8903839.328072127,85035267.71684255
Stevens,Washington,G53,residential,2022,G5300650,ng,347127.92517437314,3315212.119387402
