County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Imperial,California,G06,industrial,2022,G0600250,ng,4798331.946866177,36140814.1735716
Colusa,California,G06,commercial,2022,G0600110,elec,135791.1609060168,7328736.449357873
San Joaquin,California,G06,commercial,2022,G0600770,elec,7172594.225282074,381581709.1071569
Colusa,California,G06,commercial,2022,G0600110,ng,111096.69379932643,888292.4530247357
San Joaquin,California,G06,commercial,2022,G0600770,ng,4685796.567011855,37466080.98465107
Colusa,California,G06,residential,2022,G0600110,elec,164158.54246904864,9316465.999068098
San Joaquin,California,G06,residential,2022,G0600770,elec,5651526.876447754,318535082.33124495
Colusa,California,G06,industrial,2022,G0600110,elec,283019.8536297272,9169505.653605672
San Joaquin,California,G06,industrial,2022,G0600770,elec,3199445.7765642204,103658226.65922248
San Joaquin,California,G06,residential,2022,G0600770,ng,9449943.842038365,112926698.18797734
Colusa,California,G06,residential,2022,G0600110,ng,249205.1900392749,2977998.5737795797
Colusa,California,G06,industrial,2022,G0600110,ng,4838665.762500152,36444606.60641699
San Joaquin,California,G06,industrial,2022,G0600770,ng,12413709.751619918,93499487.38560282
Alpine,California,G06,commercial,2022,G0600030,elec,11675.04733853698,524528.3419977691
San Benito,California,G06,commercial,2022,G0600690,elec,420937.9361165301,22718291.638975486
San Diego,California,G06,commercial,2022,G0600730,elec,33183216.44238115,1811815324.6024423
Alpine,California,G06,commercial,2022,G0600030,ng,318.8324657783463,36.515580479116615
San Benito,California,G06,commercial,2022,G0600690,ng,361485.76286108844,2890320.7112736315
San Diego,California,G06,commercial,2022,G0600730,ng,22244214.593281858,166154845.64118093
Alpine,California,G06,residential,2022,G0600030,elec,7944.451086105362,448556.84979459865
San Benito,California,G06,residential,2022,G0600690,elec,370060.9665831608,21002016.47396299
San Diego,California,G06,residential,2022,G0600730,elec,19306749.058397084,1133992453.832139
Alpine,California,G06,industrial,2022,G0600030,elec,908.6189765970863,29438.170983511714
San Benito,California,G06,industrial,2022,G0600690,elec,453438.4091676386,14690863.566992896
San Diego,California,G06,industrial,2022,G0600730,elec,12175039.707063425,394456763.3507719
San Benito,California,G06,residential,2022,G0600690,ng,737274.3409695071,8810418.175750587
San Diego,California,G06,residential,2022,G0600730,ng,27679244.4569224,309533726.33478034
Alpine,California,G06,residential,2022,G0600030,ng,10471.127575333989,125129.8296383682
Alpine,California,G06,industrial,2022,G0600030,ng,4.401260116481857,33.15008752222936
San Benito,California,G06,industrial,2022,G0600690,ng,338165.4786464598,2547046.7360351267
San Diego,California,G06,industrial,2022,G0600730,ng,26281943.7482225,197954384.07405812
El Dorado,California,G06,commercial,2022,G0600170,elec,1575486.5066853897,76790354.35803156
Shasta,California,G06,commercial,2022,G0600890,elec,1764029.6541424014,88913589.82873219
Sierra,California,G06,commercial,2022,G0600910,elec,13759.2079160033,620742.7729332142
