County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Klamath,Oregon,G41,commercial,2022,G4100350,elec,731382.9677614275,19434198.112014294
Harney,Oregon,G41,commercial,2022,G4100250,ng,596.8350402735675,64.89701199340813
Klamath,Oregon,G41,commercial,2022,G4100350,ng,653848.71430536,6050115.72940135
Harney,Oregon,G41,residential,2022,G4100250,elec,129338.3137194912,3682801.621877454
Klamath,Oregon,G41,residential,2022,G4100350,elec,970113.7325675504,30524184.163860697
Klamath,Oregon,G41,industrial,2022,G4100350,elec,1780802.7075211296,29287213.97859943
Harney,Oregon,G41,industrial,2022,G4100250,elec,90265.922136188,1484520.079295067
Klamath,Oregon,G41,industrial,2022,G4100350,ng,1170076.9332465532,7437156.295988972
Harney,Oregon,G41,industrial,2022,G4100250,ng,15099.926542792316,95977.03412980204
Harney,Oregon,G41,residential,2022,G4100250,ng,5522.179953490143,59197.439238429324
Klamath,Oregon,G41,residential,2022,G4100350,ng,788524.8453959496,9574054.8649875
Jackson,Oregon,G41,commercial,2022,G4100290,elec,3050550.3813921395,81124367.66801666
Jefferson,Oregon,G41,commercial,2022,G4100310,elec,139125.19960555132,3627571.245958152
Wheeler,Oregon,G41,commercial,2022,G4100690,elec,11147.423269161838,297029.07577994675
Jackson,Oregon,G41,commercial,2022,G4100290,ng,1536890.9386931683,14247015.266912857
Jefferson,Oregon,G41,commercial,2022,G4100310,ng,89267.63639549787,664452.1121205518
Wheeler,Oregon,G41,commercial,2022,G4100690,ng,143.21705060862274,15.572742925041988
Jackson,Oregon,G41,residential,2022,G4100290,elec,3293210.7300973954,103730032.2410626
Jefferson,Oregon,G41,residential,2022,G4100310,elec,310189.9411095995,9675193.982997742
Wheeler,Oregon,G41,residential,2022,G4100690,elec,28510.121588351543,814066.3300908855
Jackson,Oregon,G41,industrial,2022,G4100290,elec,1706606.1795863619,28066972.353338506
Jefferson,Oregon,G41,industrial,2022,G4100310,elec,1833513.9673565459,30154107.284276456
Wheeler,Oregon,G41,industrial,2022,G4100690,elec,28590.381153571514,470199.5381284728
Jackson,Oregon,G41,industrial,2022,G4100290,ng,2001185.9591978325,12719789.898427805
Jefferson,Oregon,G41,industrial,2022,G4100310,ng,886198.9881164222,5632792.3375789765
Wheeler,Oregon,G41,industrial,2022,G4100690,ng,3803.769781735235,24177.239612981768
Jackson,Oregon,G41,residential,2022,G4100290,ng,2145560.361926686,26149200.232773997
Jefferson,Oregon,G41,residential,2022,G4100310,ng,99770.58961645703,840542.3288790593
Wheeler,Oregon,G41,residential,2022,G4100690,ng,1220.6958231385674,13085.786310833102
Benton,Oregon,G41,commercial,2022,G4100030,elec,1250703.5256782828,32503441.442435592
Clackamas,Oregon,G41,commercial,2022,G4100050,elec,5236975.944166936,136435371.20019826
Clatsop,Oregon,G41,commercial,2022,G4100070,elec,572935.5251632317,15298452.308321709
Marion,Oregon,G41,commercial,2022,G4100470,elec,4826983.138532942,124120227.27892306
Wallowa,Oregon,G41,commercial,2022,G4100630,elec,93824.56369695511,2492860.3704492366
Benton,Oregon,G41,commercial,2022,G4100030,ng,769781.9684080895,6999727.44113354
Clackamas,Oregon,G41,commercial,2022,G4100050,ng,2646032.298081766,24048391.997519046
Clatsop,Oregon,G41,commercial,2022,G4100070,ng,327965.51605380944,2982233.0433259276
Marion,Oregon,G41,commercial,2022,G4100470,ng,2841677.26483959,25839740.529710326
Wallowa,Oregon,G41,commercial,2022,G4100630,ng,1006.8159654249039,109.4763936053283
Benton,Oregon,G41,residential,2022,G4100030,elec,1065024.3861024126,33463581.136748966
Clackamas,Oregon,G41,residential,2022,G4100050,elec,5471921.114937441,177710427.5468039
Clatsop,Oregon,G41,residential,2022,G4100070,elec,445377.62072933617,14029210.478537455
Marion,Oregon,G41,residential,2022,G4100470,elec,4085518.5601677266,132244388.32096335
Wallowa,Oregon,G41,residential,2022,G4100630,elec,112595.59548840782,3527005.6461872747
Clackamas,Oregon,G41,industrial,2022,G4100050,elec,4034029.7503854893,66343953.76680104
Clatsop,Oregon,G41,industrial,2022,G4100070,elec,1754902.2107994126,28861252.48020483
Benton,Oregon,G41,industrial,2022,G4100030,elec,413562.15011580987,6801473.926750349
Marion,Oregon,G41,industrial,2022,G4100470,elec,2364754.759963129,38890932.93122715
Wallowa,Oregon,G41,industrial,2022,G4100630,elec,101683.71327300947,1672297.92283424
Clackamas,Oregon,G41,industrial,2022,G4100050,ng,4998209.8807845665,31769251.25804377
